Time,Text,Image
3780,0.632183908,0.367816092
3790,0.637065637,0.362934363
3800,0.635658915,0.364341085
3810,0.644787645,0.355212355
3820,0.647058824,0.352941176
3830,0.644787645,0.355212355
3840,0.643678161,0.356321839
3850,0.652509653,0.347490347
3860,0.650980392,0.349019608
3870,0.631372549,0.368627451
3880,0.649056604,0.350943396
3890,0.648854962,0.351145038
3900,0.642585551,0.357414449
3910,0.643939394,0.356060606
3920,0.635338346,0.364661654
3930,0.637735849,0.362264151
3940,0.635338346,0.364661654
3950,0.63878327,0.36121673
3960,0.638461538,0.361538462
3970,0.625,0.375
3980,0.615969582,0.384030418
3990,0.62962963,0.37037037
4000,0.633962264,0.366037736
4010,0.622641509,0.377358491
4020,0.624521073,0.375478927
4030,0.633962264,0.366037736
4040,0.622641509,0.377358491
4050,0.631782946,0.368217054
4060,0.634615385,0.365384615
4070,0.617760618,0.382239382
4080,0.629770992,0.370229008
4090,0.623076923,0.376923077
4100,0.618677043,0.381322957
4110,0.616858238,0.383141762
4120,0.608527132,0.391472868
4130,0.60311284,0.39688716
4140,0.597560976,0.402439024
4150,0.59437751,0.40562249
4160,0.588932806,0.411067194
4170,0.579365079,0.420634921
4180,0.579365079,0.420634921
4190,0.596899225,0.403100775
4200,0.587301587,0.412698413
4210,0.583333333,0.416666667
4220,0.582677165,0.417322835
4230,0.581027668,0.418972332
4240,0.588235294,0.411764706
4250,0.608695652,0.391304348
4260,0.611111111,0.388888889
4270,0.599190283,0.400809717
4280,0.5951417,0.4048583
4290,0.612244898,0.387755102
4300,0.591836735,0.408163265
4310,0.582677165,0.417322835
4320,0.589641434,0.410358566
4330,0.596,0.404
4340,0.600806452,0.399193548
4350,0.60483871,0.39516129
4360,0.600806452,0.399193548
4370,0.600790514,0.399209486
4380,0.590038314,0.409961686
4390,0.583333333,0.416666667
4400,0.580769231,0.419230769
4410,0.590551181,0.409448819
4420,0.590733591,0.409266409
4430,0.588461538,0.411538462
4440,0.586206897,0.413793103
4450,0.590733591,0.409266409
